Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
eigenSH/10x10/hmatrix,1.741477024364848e-5,1.69469567066093e-5,1.7957267310908446e-5,1.7552802127067503e-6,1.359959276105624e-6,2.31582674881027e-6
eigenSH/10x10/linear-massiv,1.562811140806666e-2,1.5379816326645151e-2,1.5885792815023184e-2,6.711966222903915e-4,5.396563533585218e-4,8.450927726680132e-4
eigenSH/50x50/hmatrix,5.548233429349317e-4,5.45564075487844e-4,5.660521015964159e-4,3.374312906585046e-5,2.5548880943880117e-5,4.410782247112624e-5
eigenSH/50x50/linear-massiv,8.888740010566835,8.65023090163595,9.050386165763484,0.23756203462961614,0.13456953737477306,0.294569366118158
